selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_mole.png,n,n,mole,20,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,1399375121,215.5998616,1399375121,216.1120564,None,3.5,1399375124,218.5985912,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_pruning_shear.png,n,n,,45,pruning_shear,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1399375133,228.1463329,1399375134,228.638549,None,0.5,1399375136,231.1276519,1399375130,225.1343713,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_horse.png,n,n,,21,horse,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,1399375137,231.627464,1399375137,232.2130824,None,1.5,1399375140,234.6262367,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_cricket_green.png,n,v,,10,cricket_green,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,1399375141,236.12589,1399375142,236.6420157,3,0.5,1399375144,239.1247602,,,1399375143,238.1582196,1.515936152,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_bat.png,n,n,,2,bat,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,1399375145,239.6246212,1399375145,240.1487211,None,0.5,1399375148,242.6234069,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_stoat.png,n,n,,29,stoat,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,1399375148,243.1233829,1399375149,243.6395747,None,1.5,1399375151,246.1221731,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_pliers.png,n,n,,59,pliers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,1399375153,247.6218243,1399375153,248.1343279,None,2.5,1399375156,250.6205644,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,bulldog_english,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,1399375158,253.1198597,1399375159,253.6346217,None,1.5,1399375161,256.1186125,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,pasta_spoon,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,1399375163,257.6349229,1399375163,258.1470429,None,2.5,1399375166,260.6337014,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_knife_table.png,n,n,,42,knife_table,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,11,,,,,,,,,,,,,,,1399375168,263.1329605,1399375169,263.6521832,None,0.5,1399375171,266.1317268,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_dragonfly.png,n,n,,12,dragonfly,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,1399375172,266.6317342,1399375172,267.1559839,None,3.5,1399375175,269.6304982,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,cow_dairy,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,1399375178,273.1294678,1399375179,273.6585582,None,2.5,1399375181,276.1281977,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_rasp.png,n,n,,47,rasp,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,1399375184,278.6275123,1399375184,279.1363517,None,1.5,1399375187,281.6262654,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,seagull_herring,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,9,,,,,,,,,,,,,,,1399375188,283.1259003,1399375189,283.6386794,None,0.5,1399375191,286.1246654,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,object,trial_images_objects\r_compass.png,n,n,,37,compass,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,1399375192,286.6246357,1399375192,287.1536237,None,2.5,1399375195,289.6234232,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_camel.png,f,n,,7,,camel,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,1399375200,295.127044,1399375203,298.1545911,1399375204,298.6498127,3,1.5,,301.1361175,,,1399375205,300.2028842,1.552783495,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_paintbrush.png,n,v,,58,,paintbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,1399375208,302.6355873,1399375208,303.1467941,None,2.5,,305.6343199,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,,pizza_slicer,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,1399375213,308.1335914,1399375214,308.6415757,None,3.5,,311.1323538,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_blackbird.png,n,n,,4,,blackbird,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,1399375220,314.6313264,1399375220,315.1438934,None,1.5,,317.630053,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_bug_common.png,n,n,,3,,bug_common,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,1399375224,319.129814,1399375225,319.6423279,None,3.5,,322.1284388,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,,kangaroo_red,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,1399375231,325.6274553,1399375231,326.1405365,3,0.5,,328.6262289,,,1399375233,327.5598271,1.41904122,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_ostrich.png,f,n,,24,,ostrich,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,1399375234,329.1261388,1399375235,329.6377808,3,2.5,,332.1249733,,,1399375237,331.4418186,1.803782382,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_pepper_mill.png,n,n,,35,,peppemill,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,1399375240,334.6242696,1399375240,335.132802,None,3.5,,337.6229626,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,1399375246,341.1385776,1399375247,341.6500787,None,1.5,,344.1373252,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,deer_roe,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,3,,,,,,,,,,,1399375251,345.6369843,1399375251,346.1470115,None,2.5,,348.635718,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_toothbrush.png,n,n,,38,,toothbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,1399375256,351.1350061,1399375257,351.6467686,None,2.5,,354.1337978,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,,swan_bewick,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,1399375262,356.6331816,1399375262,357.1447488,None,0.5,,359.6318477,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_spanner.png,n,n,,55,,spanner,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,6,,,,,,,,,,,1399375265,360.1318479,1399375266,360.6396788,None,3.5,,363.1305976,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,cleaningbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,11,,,,,,,,,,,1399375272,366.6295471,1399375272,367.1412142,None,0.5,,369.6282977,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
1,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_iron.png,n,n,,39,,,iron,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,1399375281,376.176942,1399375282,376.6877416,None,2.5,,379.1583799,1399375278,373.1518878,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_maracas.png,f,v,,60,,,maracas,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,1399375287,381.6575699,1399375287,382.1856071,None,0.5,,384.656316,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
