selectBlock,category,paths,semantic,action,image2,number,image1,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
2,animal,trial_images_animals\r_ladybird.png,n,n,ladybird,72,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,125.126948528,1396456307,1396456307,125.638912944,,,None,,1.5,128.125693453,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,object,trial_images_objects\r_rake.png,n,n,,112,rake,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,135.656405517,1396456317,1396456318,136.148187612,,,None,,2.5,138.63871433,1396456314,132.638084679,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,141.137876858,1396456323,1396456323,141.648927587,1396456324,142.53722952,3,0.887998577702,3.5,144.136746446,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,object,trial_images_objects\r_chopsticks.png,f,n,,96,chopsticks,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,147.635570907,1396456329,1396456330,148.143513226,1396456331,149.951220197,3,1.80742746115,0.5,150.634382238,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_pony.png,n,n,,81,pony,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,151.134280365,1396456333,1396456333,151.646441584,,,None,,2.5,154.14969835,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_crow.png,n,n,,64,crow,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,156.648999426,1396456338,1396456339,157.160128635,,,None,,0.5,159.647751293,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_beaver.png,n,n,,63,beaver,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,160.1477279,1396456342,1396456342,160.66114178,,,None,,3.5,163.146495766,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,bulldog_whiteenglish,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,166.645440361,1396456348,1396456349,167.157295811,,,None,,1.5,169.644173514,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
