selectBlock,category,paths,semantic,action,number,image4,image2,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396455815,324.8971783,369.6524308,1396455860,,,,,,,,,,,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,object,trial_images_objects\r_cleaningbrush.png,n,n,46,cleaningbrush,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,1396455860,369.7153279,1396455863,372.7309925,1396455863,373.2263422,None,2.5,1396455866,375.7112914,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,animal,trial_images_animals\r_horse.png,n,n,21,horse,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,1396455868,378.2103959,1396455869,378.724121,None,1.5,1396455871,381.2091336,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,object,trial_images_objects\r_pen.png,n,n,51,pen1,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,,1396455873,382.7087396,1396455873,383.2180661,None,3.5,1396455876,385.7075243,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,animal,trial_images_animals\r_bat.png,n,n,2,bat,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,1396455879,389.2064523,1396455880,389.7165549,None,3.5,1396455882,392.2051918,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,object,trial_images_objects\r_coping_saw.png,n,n,40,coping_saw,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,1396455886,395.7041222,1396455886,396.2139876,None,0.5,1396455889,398.7028505,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,animal,trial_images_animals\r_duck_white.png,n,n,13,duck_white,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,1396455889,399.2028305,1396455890,399.7169126,None,0.5,1396455892,402.2016059,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,animal,trial_images_animals\r_swan_bewick.png,n,n,30,swan_bewick,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,1396455893,402.7015801,1396455893,403.2152158,None,0.5,1396455896,405.7003434,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,object,trial_images_objects\r_lipstick.png,n,n,48,lipstick,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,1396455896,406.2003318,1396455897,406.7250601,None,0.5,1396455899,409.2157525,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
4,animal,trial_images_animals\r_camel.png,f,n,7,camel,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,1396455900,409.7157379,1396455900,410.2280775,None,2.5,1396455903,412.714487,,,,,,2014_Apr_02_1723,60.02436886,semact_fmri_builder,1,RB
