selectBlock,category,paths,semantic,action,image1,number,image4,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
1,animal,trial_images_animals\r_moth.png,n,n,moth,66,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.837542523,1412962848,1412962848,122.348130194,None,1.5,124.836332107,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_hare.png,n,v,,78,hare,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,132.367827076,1412962858,1412962859,132.860330344,3,0.5,135.349738447,1412962860,133.899913973,1.03921295779,1412962855,129.363064798,1412962861,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,object,trial_images_objects\r_computer_mouse.png,n,n,,99,computer_mouse,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,135.849467085,1412962862,1412962862,136.358283805,None,1.5,138.864920266,,,,,,1412962865,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,object,trial_images_objects\r_paint_roller.png,n,v,,117,paint_roller,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,140.364631397,1412962866,1412962867,140.873863461,3,1.5,143.363440902,1412962868,142.263628049,1.38948356581,,,1412962869,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_hedgehog.png,n,n,,80,hedgehog,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,144.863029482,1412962871,1412962871,145.374775349,None,1.5,147.861818462,,,,,,1412962874,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_otter.png,n,n,,86,otter,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,12,,,,,,,,,,,,,,,149.361455941,1412962875,1412962876,149.873237426,None,0.5,152.360261522,,,,,,1412962878,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,152.860244921,1412962879,1412962879,153.370164598,None,2.5,155.859029977,,,,,,1412962882,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_fox2.png,n,n,,74,fox2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,158.358368625,1412962884,1412962885,158.869493587,None,1.5,161.357133457,,,,,,1412962887,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_polecat.png,n,n,,89,polecat,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,162.856816213,1412962889,1412962889,163.36650075,None,0.5,165.855563236,,,,,,1412962892,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_vole.png,n,n,,79,vole,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,166.35560791,1412962892,1412962893,166.866175658,None,1.5,169.354394173,,,,,,1412962895,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,grasshopper_common,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,170.854043424,1412962897,1412962897,171.362472268,None,2.5,173.852831499,,,,,,1412962900,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_badger2.png,n,n,,61,badger2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,176.352163808,1412962902,1412962903,176.86466792,None,1.5,179.350934375,,,,,,1412962905,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_swan2.png,n,n,,90,swan2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,180.85056642,1412962907,1412962907,181.362934701,None,2.5,183.849376832,,,,,,1412962910,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,animal,trial_images_animals\r_crow.png,n,n,,64,crow,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,8,,,,,,,,,,,,,,,186.348703708,1412962912,1412962913,186.876501927,None,0.5,189.364129723,,,,,,1412962915,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,object,trial_images_objects\r_cutteknife.png,n,n,,102,cutterknife,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,189.864118856,1412962916,1412962916,190.373516335,None,0.5,192.862937418,,,,,,1412962919,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,animal,trial_images_animals\r_koala.png,f,n,,88,,koala,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,199.394452309,1412962925,1412962926,199.890349874,None,1.5,202.376337118,,,,1412962922,196.371663885,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_whisk.png,n,n,,116,,whisk,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,203.875907888,1412962930,1412962930,204.384967596,None,1.5,206.874633177,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_scissors.png,n,n,,114,,scissors,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,208.374278806,1412962934,1412962935,208.881600768,3,1.5,211.373304436,1412962937,210.956619709,2.07468509558,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,animal,trial_images_animals\r_ladybird.png,n,n,,72,,ladybird,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,212.872757787,1412962939,1412962939,213.387242334,None,3.5,215.871554011,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_teapot.png,n,n,,109,,teapot,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,219.370518366,1412962945,1412962946,219.883173705,None,1.5,222.369301913,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_handbell.png,n,v,,91,,handbell,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,223.868928827,1412962950,1412962950,224.3827321,None,1.5,226.867719618,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_cakeslicer.png,n,n,,92,,cakeslicer,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,228.367360719,1412962954,1412962955,228.876008705,3,0.5,231.366254743,1412962956,230.533135521,1.65684851083,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_potatomasher.png,n,v,,118,,potatomasher,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,231.866168414,1412962958,1412962958,232.373696841,3,0.5,234.865042515,1412962959,233.282166434,0.908184647335,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_shisha.png,f,n,,120,,shisha,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,235.364979127,1412962961,1412962962,235.875427041,None,0.5,238.363745468,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
2,object,trial_images_objects\r_garden clippers.png,n,n,,105,,garden_clippers,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,238.863755128,1412962965,1412962965,239.37134,3,0.5,241.862652472,1412962966,240.562987223,1.19137012475,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
