selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396600429,250.9353591,292.153506,1396600471,,,,,,,,,,,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,animal,trial_images_animals\r_bug_common.png,n,n,3,bug_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,1396600471,292.2047638,1396600474,295.2173211,1396600474,295.7151222,None,3.5,1396600477,298.1972322,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,animal,trial_images_animals\r_fox_red.png,n,n,14,fox_red,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,1396600480,301.6959968,1396600481,302.2105357,None,2.5,1396600483,304.6947052,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,object,trial_images_objects\r_paintbrush.png,n,v,58,paintbrush,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1396600486,307.1939457,1396600486,307.7073699,None,1.5,1396600489,310.192656,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,object,trial_images_objects\r_corkscrew.png,n,n,41,corkscrew,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,1396600490,311.6923294,1396600491,312.2030484,None,0.5,1396600493,314.6910248,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,animal,trial_images_animals\r_deer_roe.png,n,n,11,deer_roe,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,10,,,,,,,,,,,,,,,,,,,1396600494,315.1909847,1396600494,315.7033228,None,0.5,1396600497,318.1897462,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,animal,trial_images_animals\r_rabbit.png,n,v,18,rabbit,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,1396600497,318.6897046,1396600498,319.2012057,3,1.5,1396600500,321.6886022,1396600499,320.5055062,1.303970627,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,object,trial_images_objects\r_compass.png,n,n,37,compass,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,1396600502,323.2047234,1396600502,323.7125668,None,3.5,1396600505,326.2034635,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,object,trial_images_objects\r_iron.png,n,n,39,iron,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,1396600508,329.7023868,1396600509,330.2170138,None,1.5,1396600511,332.7010699,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
4,object,trial_images_objects\r_pliers.png,n,n,59,pliers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,1396600513,334.2007559,1396600513,334.7142788,None,1.5,1396600516,337.1994357,,,,,,2014_Apr_04_0933,60.02391551,semact_fmri_builder,1,pw
