selectBlock,category,paths,semantic,action,image2,number,image3,image4,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
2,object,trial_images_objects\r_paintbrush.png,n,v,paintbrush,58,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4340087,1395084910,1395084911,130.9445875,None,1,133.4327488,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_compass.png,n,n,,37,compass,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,142.4641874,1395084922,1395084923,142.9526814,None,1,145.4452805,,,,1395084918,138.4523065,1395084925,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,pasta_spoon,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,,,,,146.4449186,1395084926,1395084927,146.9546766,None,2,149.4436638,,,,,,1395084929,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,cleaningbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,8,,,,,,,,,,,,,,,151.4431504,1395084931,1395084932,151.953165,None,4,154.4418494,,,,,,1395084934,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_iron.png,n,n,,39,iron,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,,,,,,,158.4572552,1395084938,1395084939,158.9679985,None,2,161.4559694,,,,,,1395084941,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_bug_common.png,n,n,,3,bug_common,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,163.4554315,1395084943,1395084944,163.9667449,None,1,166.4541505,,,,,,1395084946,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_seal_grey.png,n,n,,26,seal_grey,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,14,,,,,,,,,,,,,,,167.4539799,1395084947,1395084948,167.9640655,3,2,170.452807,1395084949,169.0198348,1.055462956,,,1395084950,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,bulldog_english,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,0,,,,,,,,,,,,,,,172.4521562,1395084952,1395084953,172.9654382,None,1,175.45089,,,,,,1395084955,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_pepper_mill.png,n,n,,35,peppemill,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,,,,,176.4507466,1395084956,1395084957,176.958705,None,4,179.4494432,,,,,,1395084959,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_pen.png,n,n,,51,pen1,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,9,,,,,,,,,,,,,,,183.4481939,1395084963,1395084964,183.9571267,None,4,186.4469086,,,,,,1395084966,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_butterfly.png,n,n,,6,butterfly,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,13,,,,,,,,,,,,,,,190.445633,1395084970,1395084971,190.964779,None,4,193.4443593,,,,,,1395084973,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_knife_table.png,n,n,,42,knife_table,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,2,,,,,,,,,,,,,,,197.4430909,1395084977,1395084978,197.9528091,None,1,200.441812,,,,,,1395084980,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_rabbit.png,n,v,,18,rabbit,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,,,,,201.4416116,1395084981,1395084982,201.9510204,None,4,204.4570518,,,,,,1395084984,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_spanner.png,n,n,,55,spanner,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,11,,,,,,,,,,,,,,,208.4558019,1395084988,1395084989,208.9631995,None,1,211.4544937,,,,,,1395084991,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,object,trial_images_objects\r_nail_file.png,n,n,,53,nail_file,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,6,,,,,,,,,,,,,,,212.454315,1395084992,1395084993,212.9628472,None,4,215.4530267,,,,,,1395084995,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,swan_bewick,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,14,14,10,,,,,,,,,,,,,,,219.4517608,1395084999,1395085000,219.9634271,None,1,222.4504894,,,,,,1395085002,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_pliers.png,n,n,,59,,pliers,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,1395085007,227.4697673,231.4818836,1395085011,1395085012,231.9764383,None,2,234.4629399,,,,,,1395085014,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,,kangaroo_red,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,7,,,,,,,,,,,236.4622674,1395085016,1395085017,236.9772011,3,1,239.4611068,1395085018,238.1115136,1.134005822,,,1395085019,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_sheep.png,n,n,,27,,sheep1,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,14,,,,,,,,,,,240.4608113,1395085020,1395085021,240.9723701,None,4,243.459526,,,,,,1395085023,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_toothbrush.png,n,n,,38,,toothbrush,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,10,,,,,,,,,,,247.4582897,1395085027,1395085028,247.9688415,None,1,250.4569887,,,,,,1395085030,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_chi_instrument.png,f,n,,31,,chi_instrument,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,9,,,,,,,,,,,251.4568387,1395085031,1395085032,251.9643598,None,2,254.4555396,,,,,,1395085034,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,seagull_herring,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,256.4549778,1395085036,1395085037,256.9672493,None,4,259.4703939,,,,,,1395085039,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_spatula.png,n,n,,32,,spatula,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,12,,,,,,,,,,,263.4691398,1395085043,1395085044,263.9767939,None,2,266.4678279,,,,,,1395085046,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_cat_wild.png,n,n,,8,,cat_wild,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,0,,,,,,,,,,,268.4673127,1395085048,1395085049,268.977193,None,1,271.4660326,,,,,,1395085051,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_stoat.png,n,n,,29,,stoat,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,2,,,,,,,,,,,272.4658421,1395085052,1395085053,272.9780414,None,1,275.4645997,,,,,,1395085055,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_squirrel_red.png,n,v,,22,,squirrel_red,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,13,,,,,,,,,,,276.4643863,1395085056,1395085057,276.9762367,3,2,279.4631961,1395085059,278.9132313,1.936726524,,,1395085059,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_maracas.png,f,v,,60,,maracas,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,11,,,,,,,,,,,281.4625952,1395085061,1395085062,281.9722898,3,2,284.4613972,1395085063,282.8951034,0.922552829,,,1395085064,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_badger.png,n,n,,1,,badger1,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,286.460756,1395085066,1395085067,286.9746155,None,1,289.4595034,,,,,,1395085069,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,object,trial_images_objects\r_wok.png,f,n,,44,,wok,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,8,,,,,,,,,,,290.4593072,1395085070,1395085071,290.9690109,None,4,293.458056,,,,,,1395085073,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_ostrich.png,f,n,,24,,ostrich,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,1,,,,,,,,,,,297.4567967,1395085077,1395085078,297.9677314,3,4,300.4555713,1395085080,300.2721487,2.304145105,,,1395085080,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,14,14,6,,,,,,,,,,,304.454254,1395085084,1395085085,304.9816778,None,4,307.4696239,,,,,,1395085087,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
