selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
1,object,trial_images_objects\r_pruning_shear.png,n,n,pruning_shear,45,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6445175,1411743057,1411743058,232.1547677,,,None,,2.5,234.6433409,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_axe.png,n,v,,34,axe,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,243.1747864,1411743069,1411743069,243.6658912,1411743070,244.5066051,3,0.84038003,3.5,246.1562731,1411743066,240.1626457,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_cat_wild.png,n,n,,8,cat_wild,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,249.6716907,1411743075,1411743076,250.1819916,,,None,,1.5,252.6704878,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,cleaningbrush,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,254.1701289,1411743080,1411743080,254.684062,,,None,,2.5,257.1689245,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_dragonfly.png,n,n,,12,dragonfly,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,259.6682574,1411743085,1411743086,260.1827909,,,None,,1.5,262.6670262,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,pizza_slicer,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,264.1666564,1411743090,1411743090,264.6746425,,,None,,1.5,267.1655048,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_corkscrew.png,n,n,,41,corkscrew,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,268.6652093,1411743094,1411743095,269.1730478,,,None,,1.5,271.6639693,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_knife_table.png,n,n,,42,knife_table,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,273.163624,1411743099,1411743099,273.6737269,,,None,,1.5,276.1624287,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
