selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startfixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,startFixtime,date,frameRate,expName,session,participant
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,,bottle_cleaner,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,1394741047,229.0782786,2,,1394741053,235.0960203,3,1394741055,237.2367808,2.14040407,,,,233.1057085,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_scissors.png,n,n,,114,,scissors,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,3,,1394741059,241.0942026,None,,,,,,,238.0869907,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_nailclipper.png,n,n,,113,,nailclipper,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,2,,1394741064,246.0917818,3,1394741065,246.9664635,0.874410351,,,,244.0846091,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_toad.png,n,v,,75,,toad,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,3,,1394741070,252.0938307,3,1394741071,253.3974427,1.303334935,,,,249.0828343,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_ladybird.png,n,n,,72,,ladybird,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,1,,1394741074,256.0909182,None,,,,,,,255.0806411,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_koala.png,f,n,,88,,koala,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,4,,1394741081,263.091387,3,1394741083,265.0265193,1.934850956,,,,259.0790516,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_dog_terrier.png,n,n,,68,,dog_terrier,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,2,,1394741086,268.086007,None,,,,,,,266.0765587,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_jerboas.png,f,v,,82,,jerboas,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,2,,1394741091,273.0854564,None,,,,,,,271.0746278,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_giraffe.png,f,n,,67,,giraffe,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,1,,1394741095,277.0989563,3,1394741096,278.2882338,1.188999779,,,,276.0894425,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_paint_roller.png,n,v,,117,,paint_roller,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,2,,1394741100,282.0966412,None,,,,,,,280.0880516,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_goat2.png,n,n,,76,,goat2,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,2,,1394741105,287.0954419,None,,,,,,,285.0862101,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_handbell.png,n,v,,91,,handbell,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,4,,,,,,,,,,,,1,,1394741109,291.0943082,3,1394741111,292.7662289,1.67164958,,,,290.0843335,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,deer_fallow,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,,1,,1394741113,295.0920924,None,,,,,,,294.0829088,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,highland_cow,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,,,,,,1,,1394741117,299.096521,None,,,,,,,298.0813441,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,object,trial_images_objects\r_tweezers.png,n,n,,103,,tweezers,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,3,,1394741123,305.0886022,None,,,,,,,302.0798777,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
1,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
2,animal,trial_images_animals\r_goose_canada.png,n,n,,77,,,goose_canada,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,0,0,0,2,,,,,,,4,,1394741139,321.1002147,None,,,,1394741130,312.0950655,,317.108688,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
