selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant,
3,animal,trial_images_animals\r_owl_whitebarn.png,n,n,owl_whitebarn,85,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,1399375486,124.259860203,1399375486,124.771231526,None,2.5,1399375489,127.275278839,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1399375497,135.806630306,1399375498,136.300923138,None,2.5,1399375500,138.78799006,,,,1399375494,132.794535909,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_tweezers.png,n,n,,103,tweezers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,1399375503,141.287139304,1399375503,141.79712183,None,2.5,1399375506,144.285912297,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_paint_roller.png,n,v,,117,paint_roller,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,1399375508,146.785225445,1399375509,147.296210404,3,1.5,1399375511,149.78405277,1399375511,149.100742271,1.8042659403,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_african_sickle.png,f,n,,94,african_sickle,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,1399375513,151.2836246,1399375513,151.791357161,None,1.5,1399375516,154.282371333,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_nailclipper.png,n,n,,113,nailclipper,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,1399375517,155.782001721,1399375518,156.289793745,None,2.5,1399375520,158.780768677,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,animal,trial_images_animals\r_goose_canada.png,n,n,,77,goose_canada,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,1399375523,161.280054055,1399375523,161.790754976,None,2.5,1399375526,164.278836707,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,animal,trial_images_animals\r_penguin.png,f,n,,84,penguin,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,1399375528,166.794769237,1399375529,167.303759592,None,1.5,1399375531,169.793536192,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,bottle_cleaner,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,1399375533,171.293187107,1399375533,171.801426769,3,2.5,1399375536,174.292076009,1399375536,174.075302926,2.27354231394,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,animal,trial_images_animals\r_goat2.png,n,n,,76,goat2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,1399375538,176.791258758,1399375539,177.301274186,None,2.5,1399375541,179.789993115,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_cakeslicer.png,n,n,,92,cakeslicer,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,1399375544,182.289289661,1399375544,182.798168937,None,1.5,1399375547,185.288054806,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_chopsticks.png,f,n,,96,chopsticks,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,1399375548,186.787681874,1399375549,187.295825851,None,1.5,1399375551,189.786465431,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,deer_fallow,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,1399375553,191.286090085,1399375553,191.796284809,None,2.5,1399375556,194.284860361,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_computer_mouse.png,n,n,,99,computer_mouse,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,2,,,,,,,,,,,,,,,1399375558,196.784174112,1399375559,197.293958023,None,0.5,1399375561,199.782944389,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,object,trial_images_objects\r_rake.png,n,n,,112,rake,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,1399375562,200.282898357,1399375562,200.80084179,None,3.5,1399375565,203.281673463,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_otter.png,n,n,,86,,otter,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,1399375571,209.785178659,1399375574,212.812254014,1399375575,213.343932381,None,1.5,,215.793918331,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_beaver.png,n,n,,63,,beaver,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,1399375579,217.293469333,1399375579,217.807565729,None,0.5,,220.292209123,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_garden clippers.png,n,n,,105,,garden_clippers,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,1399375582,220.792218028,1399375583,221.344667077,None,1.5,,223.790981361,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,,duck_mallard,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,1399375587,225.29064616,1399375587,225.805397866,None,0.5,,228.289385045,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_pencil.png,n,n,,111,,pencil,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,11,,,,,,,,,,,1399375590,228.78936467,1399375591,229.298972,None,1.5,,231.788132833,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_polecat.png,n,n,,89,,polecat,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,12,,,,,,,,,,,1399375595,233.287769561,1399375595,233.800105284,None,1.5,,236.28657636,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_toad.png,n,v,,75,,toad,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,9,,,,,,,,,,,1399375599,237.786207051,1399375600,238.305176461,None,2.5,,240.784952877,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_wallaby.png,f,v,,83,,wallaby,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,1399375605,243.28424399,1399375605,243.795636442,3,2.5,,246.283115083,1399375607,245.283347203,1.48745268174,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_mop.png,n,n,,93,,mop,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,1399375610,248.782299644,1399375611,249.292724979,None,2.5,,251.781051206,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_teapot.png,n,n,,109,,teapot,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,1399375616,254.28039001,1399375616,254.806785455,None,2.5,,257.295782687,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_hairbrush.png,n,n,,106,,hairbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,1399375621,259.79509342,1399375622,260.304956415,None,0.5,,262.793841058,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_shisha.png,f,n,,120,,shisha,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,1399375625,263.293827626,1399375625,263.805008182,3,0.5,,266.292651027,1399375627,265.559513773,1.75421642234,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,animal,trial_images_animals\r_fox2.png,n,n,,74,,fox2,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,1399375628,266.792570283,1399375629,267.373629276,None,1.5,,269.791351727,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,object,trial_images_objects\r_scissors.png,n,n,,114,,scissors,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,0,,,,,,,,,,,1399375633,271.290988757,1399375633,271.799946513,None,3.5,,274.289773823,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
1,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,,,sheep_blackfaced,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,1399375645,283.819931185,1399375646,284.316173947,None,1.5,,286.802116489,,,,1399375642,280.809005237,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_pony.png,n,n,,81,,,pony,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,1399375650,288.301634591,1399375650,288.814793149,None,1.5,,291.31705866,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,object,trial_images_objects\r_stapler.png,n,n,,97,,,stapler,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,1399375654,292.816711687,1399375655,293.327807122,3,2.5,,295.815568291,1399375657,295.165673138,1.83761367173,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,object,trial_images_objects\r_key.png,n,n,,108,,,key,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,1399375660,298.314760097,1399375660,298.840304938,None,1.5,,301.313509847,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,,highland_cow,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,13,,,,,,,1399375664,302.813196681,1399375665,303.326792012,None,1.5,,305.811919266,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_swan2.png,n,n,,90,,,swan2,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,1399375669,307.311592215,1399375669,307.825164906,None,1.5,,310.310362491,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_dog_terrier.png,n,n,,68,,,dog_terrier,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,1399375673,311.809972958,1399375674,312.321446305,None,0.5,,314.808738706,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_badger2.png,n,n,,61,,,badger2,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,10,,,,,,,1399375677,315.308727085,1399375677,315.834009923,None,0.5,,318.307532073,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,object,trial_images_objects\r_frypan.png,n,n,,104,,,frypan,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,1399375680,318.807501738,1399375681,319.329187468,None,1.5,,321.806256922,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,object,trial_images_objects\r_pincer.png,n,n,,119,,,pincer,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,7,,,,,,,1399375685,323.305894857,1399375685,323.815866818,3,2.5,,326.304759913,1399375688,326.071386162,2.25525734099,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_vole.png,n,n,,79,,,vole,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,5,,,,,,,1399375690,328.803979186,1399375691,329.315961749,None,3.5,,331.802722296,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_hedgehog.png,n,n,,80,,,hedgehog,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,12,,,,,,,1399375697,335.301689527,1399375697,335.81534251,None,1.5,,338.317078884,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,object,trial_images_objects\r_cutteknife.png,n,n,,102,,,cutterknife,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,1399375701,339.816713498,1399375702,340.326444586,None,1.5,,342.815505507,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,animal,trial_images_animals\r_crow.png,n,n,,64,,,crow,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,9,,,,,,,1399375706,344.315150083,1399375706,344.827668726,None,0.5,,347.313972578,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,,,,,,,,,,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
2,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
