selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,Respgettime,date,frameRate,expName,session,participant
1,animal,trial_images_animals\r_goat.png,n,n,goat1,16,,,,,,,,0,0,0,0,0,0,0,0,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,199.7642503,1394740555,202.7747707,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_frog.png,n,v,,15,frog,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,1394740562,209.8023844,4,,1394740570,217.8176329,None,,,,213.8092734,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_pepper_mill.png,n,n,,35,peppemill,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,6,,,,,,,,,,,,,,,,1,,1394740574,221.8135659,3,1394740575,222.6887674,0.874903561,220.8066969,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_chi_instrument.png,f,n,,31,chi_instrument,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,10,,,,,,,,,,,,,,,,2,,1394740579,226.812009,3,1394740580,227.7702147,0.957891486,224.8052553,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,bulldog_english,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,13,,,,,,,,,,,,,,,,3,,1394740585,232.8155897,None,,,,229.8033558,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,1,,1394740589,236.8126317,3,1394740590,238.1830031,1.370102759,235.801066,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_duck_white.png,n,n,,13,duck_white,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,12,,,,,,,,,,,,,,,,2,,1394740594,241.8108076,None,,,,239.7996986,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,seagull_herring,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,11,,,,,,,,,,,,,,,,1,,1394740598,245.8096286,None,,,,244.7977309,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
