selectBlock,category,paths,semantic,action,number,image4,image2,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412962383,202.9647654,236.1861469,1412962416,,,,,,,,,,,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,43,eyelash_curlers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,1412962416,236.2237257,1412962419,239.2575663,1412962419,239.7224657,None,1.5,1412962422,242.2111805,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_rasp.png,n,n,47,rasp,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,1412962423,243.710652,1412962424,244.2179157,3,2.5,1412962426,246.7095508,1412962425,245.5930867,1.374858961,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,animal,trial_images_animals\r_bat.png,n,n,2,bat,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,1412962429,249.2087666,1412962429,249.7198484,3,3.5,1412962432,252.2242633,1412962432,251.9241803,2.20405263,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_nail_file.png,n,n,53,nail_file,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,1412962435,255.7231594,1412962436,256.2318394,None,3.5,1412962438,258.7219529,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,animal,trial_images_animals\r_owl.png,n,n,25,owl2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,1412962442,262.2209064,1412962442,262.7333685,None,2.5,1412962445,265.2197002,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_pepper_mill.png,n,n,35,peppemill,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,1412962447,267.7190235,1412962448,268.2270059,None,1.5,1412962450,270.7177804,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_spanner.png,n,n,55,spanner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,1412962452,272.2174249,1412962452,272.7252056,None,2.5,1412962455,275.2162039,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,animal,trial_images_animals\r_frog.png,n,v,15,frog,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,,,,,1412962457,277.7155422,1412962458,278.2254209,3,1.5,1412962460,280.7143831,1412962459,279.131402,0.905721254,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_broom.png,n,n,33,broom,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,13,,,,,,,,,,,,,,,,,,,1412962462,282.2139847,1412962462,282.7205399,None,3.5,1412962465,285.2127489,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_compass.png,n,n,37,compass,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,1412962468,288.7117395,1412962469,289.2179724,None,1.5,1412962471,291.7105004,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,animal,trial_images_animals\r_rabbit.png,n,v,18,rabbit,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,1412962473,293.210159,1412962473,293.7193132,3,0.5,1412962476,296.2090144,1412962474,294.7426676,1.023096009,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,animal,trial_images_animals\r_bug_common.png,n,n,3,bug_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,1412962476,296.7089387,1412962477,297.2204506,None,0.5,1412962479,299.7077551,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_cleaningbrush.png,n,n,46,cleaningbrush,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,1412962480,300.2245654,1412962480,300.7343734,None,0.5,1412962483,303.2231784,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,object,trial_images_objects\r_iron.png,n,n,39,iron,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,5,,,,,,,,,,,,,,,,,,,1412962483,303.7231618,1412962484,304.2352545,None,2.5,1412962486,306.7219861,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_stoat.png,n,n,29,,stoat,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,12,,,,,,,,,,,,,1412962492,312.2298535,1412962495,315.2527089,1412962495,315.7486095,None,0.5,,318.2346656,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_bulldog_english.png,n,n,5,,bulldog_english,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,1412962498,318.7345953,1412962499,319.2483563,None,3.5,,321.7333411,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_butterfly.png,n,n,6,,butterfly,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,1412962505,325.23231,1412962505,325.7457003,None,0.5,,328.2310929,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_colander.png,n,n,36,,colander,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,1412962508,328.7310757,1412962509,329.2408037,None,1.5,,331.7298671,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_deer_roe.png,n,n,11,,deer_roe,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,1412962513,333.2295492,1412962513,333.7382594,None,0.5,,336.2283355,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_lipstick.png,n,n,48,,lipstick,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,1412962516,336.7282996,1412962517,337.236062,3,1.5,,339.7272093,1412962519,339.2939512,2.057562385,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_rolling_pin.png,n,n,56,,rolling_pin,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,1412962521,341.2267472,1412962521,341.7384411,None,2.5,,344.2255271,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_staple_remover.png,n,n,54,,staple_remover,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,1412962526,346.724847,1412962527,347.2340987,None,3.5,,349.7236421,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_coping_saw.png,n,n,40,,coping_saw,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,1412962533,353.2226719,1412962533,353.7301964,None,3.5,,356.2213942,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_cat_wild.png,n,n,8,,cat_wild,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,11,,,,,,,,,,,,,,,1412962539,359.7370306,1412962540,360.2468775,None,0.5,,362.7358057,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_pitchfork.png,n,n,52,,pitchfork,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,1412962543,363.235793,1412962543,363.7440679,None,1.5,,366.2345802,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,object,trial_images_objects\r_spatula.png,n,n,32,,spatula,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,2,,,,,,,,,,,,,,,1412962547,367.734249,1412962548,368.242054,None,1.5,,370.7330429,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_dragonfly.png,n,n,12,,dragonfly,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,1412962552,372.2326984,1412962552,372.7455062,None,0.5,,375.231488,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,animal,trial_images_animals\r_kangaroo_red.png,f,v,23,,kangaroo_red,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,1412962555,375.7314696,1412962556,376.2441434,3,1.5,,378.7303488,1412962557,377.6806424,1.43622646,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_blackbird.png,n,n,4,,,blackbird,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,1412962566,386.2620382,1412962566,386.7565292,None,1.5,1412962569,389.2435729,,,,1412962563,383.2519244,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_goat.png,n,n,16,,,goat1,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,10,,,,,,,,,,,1412962570,390.7430643,1412962571,391.2544005,None,1.5,1412962573,393.7418529,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_squirrel_red.png,n,v,22,,,squirrel_red,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,1412962575,395.2415019,1412962575,395.7522474,None,1.5,1412962578,398.2402906,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_fox_red.png,n,n,14,,,fox_red,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,13,,,,,,,,,,,1412962579,399.7399513,1412962580,400.2508601,None,0.5,1412962582,402.7554045,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,object,trial_images_objects\r_pruning_shear.png,n,n,45,,,pruning_shear,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,1412962583,403.2553854,1412962583,403.7638058,None,2.5,1412962586,406.2541702,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_duck_white.png,n,n,13,,,duck_white,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,1412962588,408.753527,1412962589,409.2654745,None,2.5,1412962591,411.7522652,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_swan_bewick.png,n,n,30,,,swan_bewick,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,1412962594,414.2516102,1412962594,414.7629009,None,1.5,1412962597,417.2504073,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_cow_dairy.png,n,n,9,,,cow_dairy,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,1412962598,418.7501188,1412962599,419.2639613,None,2.5,1412962601,421.7488266,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_seal_grey.png,n,n,26,,,seal_grey,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,1412962604,424.2481661,1412962604,424.7589563,3,0.5,1412962607,427.2470375,1412962606,426.530443,1.771177303,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
3,animal,trial_images_animals\r_harvest_mouse.png,n,n,19,,,harvest_mouse,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,0,,,,,,,,,,,1412962607,427.7469306,1412962608,428.2578144,None,2.5,1412962610,430.7457166,,,,,,2014_Oct_10_1833,60.02061736,semact_fmri_builder,1,zc_020
