selectBlock,category,paths,semantic,action,image3,number,image2,image4,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395137156,7.08954028671,32.6059382223,1395137182,,,,,,,,,,,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,object,trial_images_objects\r_pincer.png,n,n,pincer,119,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,1395137182,32.6374754073,1395137186,36.6435249495,1395137186,37.1554296467,None,1,1395137189,39.6410643234,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_badger2.png,n,n,badger2,61,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,1395137190,40.6406601553,1395137190,41.1545576216,None,2,1395137193,43.6394038838,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_fox2.png,n,n,fox2,74,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,1395137195,45.6388768655,1395137195,46.1503037448,None,3,1395137198,48.6375928243,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,object,trial_images_objects\r_nailclipper.png,n,n,nailclipper,113,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,1395137201,51.6366574122,1395137201,52.1447667325,None,1,1395137204,54.6354267973,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,bulldog_whiteenglish,65,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,1395137205,55.6351931706,1395137205,56.148096969,None,0,,,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_penguin.png,f,n,penguin,84,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,1395137208,58.6343643091,1395137208,59.1434802767,3,1,1395137211,61.6329362887,1395137209,60.2166214204,1.0728269249,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,object,trial_images_objects\r_teapot.png,n,n,teapot,109,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,1395137212,62.632635351,1395137212,63.1444893386,None,0,,,,,,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_vole.png,n,n,vole,79,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,1395137215,65.6317796255,1395137215,66.1428741754,3,2,1395137218,68.630342248,1395137218,68.3302391383,2.187073986,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
3,animal,trial_images_animals\r_beaver.png,n,n,beaver,63,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,1395137220,70.6297207527,1395137220,71.1416770652,3,0,,,1395137222,72.7119733364,1.57002038649,,,2014_Mar_18_1005,60.0271781966,semact_fmri_builder,002,nc,
