selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,startJitAbstime,date,frameRate,expName,session,participant,
1,animal,trial_images_animals\r_fox2.png,n,n,fox2,74,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.17502008,1407428556,1407428556,115.686231092,None,2.5,118.17368988,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_hare.png,n,v,,78,hare,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,126.70460185,1407428567,1407428568,127.198801281,3,0.5,129.686313796,1407428564,123.701095098,1407428569,128.26984184,1.07068439018,1407428570,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_crow.png,n,n,,64,crow,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,130.186001243,1407428571,1407428571,130.697808385,None,1.5,133.201325249,,,,,,1407428574,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,sheep_blackfaced,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,134.700994888,1407428575,1407428576,135.212774865,None,0.5,137.699598586,,,,,,1407428578,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,138.199569458,1407428579,1407428579,138.709358815,None,2.5,141.198295401,,,,,,1407428582,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,bulldog_whiteenglish,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,143.69747908,1407428584,1407428585,144.208924923,None,2.5,146.696218907,,,,,,1407428587,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,object,trial_images_objects\r_pencil.png,n,n,,111,pencil,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,149.195405907,1407428590,1407428590,149.703134013,None,0.5,152.194071482,,,,,,1407428593,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_toad.png,n,v,,75,toad,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,12,,,,,,,,,,,,,,,152.694049599,1407428593,1407428594,153.205353879,3,1.5,155.692777956,,,1407428595,154.043225596,0.837603081402,1407428596,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
