selectBlock,category,paths,semantic,action,number,image4,image3,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396600798,9.04939302344,59.9616339137,1396600848,,,,,,,,,,,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_swan2.png,n,n,90,swan2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,1396600848,59.9993326246,1396600851,63.0154915004,1396600852,63.5154939151,None,1.5,1396600854,65.9970718188,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_hare.png,n,v,78,hare,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,1396600856,67.4965327267,1396600856,68.0069623161,3,3.5,1396600859,70.4953491994,1396600858,69.1790129605,1.17173159617,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,70,grasshopper_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,1396600862,73.9941532965,1396600863,74.5034841765,3,0.5,1396600865,76.9929284167,1396600865,76.1597272907,1.65597387003,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_whisk.png,n,n,116,whisk,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,1396600866,77.4928294121,1396600866,78.0033803424,None,0.5,1396600869,80.4915882327,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_hammer.png,n,v,107,hammer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,12,,,,,,,,,,,,,,,,,,,1396600869,80.9915616705,1396600870,81.5028792826,3,0.5,1396600872,83.9903781432,1396600871,82.7406891926,1.23752798841,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_pony.png,n,n,81,pony,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,1396600873,84.4903053989,1396600873,85.0033003539,None,2.5,1396600876,87.4890322242,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_computer_mouse.png,n,n,99,computer_mouse,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,1396600878,89.9883832612,1396600879,90.4974252772,None,3.5,1396600881,92.9870104782,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_vole.png,n,n,79,vole,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,1396600885,96.485907543,1396600885,96.9964563604,None,0.5,1396600888,99.4846238037,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_scissors.png,n,n,114,scissors,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,1396600888,99.9846144466,1396600889,100.492643477,None,2.5,1396600891,102.983343988,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_jerboas.png,f,v,82,jerboas,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,1396600894,105.482628016,1396600894,105.995680321,3,0.5,1396600897,108.498063072,1396600896,107.998136118,2.00216723443,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,87,sheep_blackfaced,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,1396600897,108.997970104,1396600898,109.509829827,None,1.5,1396600900,111.996724699,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,animal,trial_images_animals\r_fox2.png,n,n,74,fox2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,1396600902,113.496328077,1396600902,114.007348675,None,1.5,1396600905,116.495051884,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_screwdriver.png,n,n,115,screwdriver,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,1396600906,117.994808598,1396600907,118.505934842,None,1.5,1396600909,120.993415592,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,object,trial_images_objects\r_mop.png,n,n,93,mop,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,5,,,,,,,,,,,,,,,,,,,1396600911,122.493031647,1396600911,123.003469386,None,0.5,1396600914,125.491758472,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,71,,deer_fallow,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,1396600921,132.022684123,1396600921,132.517615269,3,2.5,1396600923,135.005188685,1396600922,133.988586704,1.47062521997,1396600917,129.003529453,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
3,animal,trial_images_animals\r_giraffe.png,f,n,67,,giraffe,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,1396600926,137.504200149,1396600926,138.014446519,3,0.5,1396600929,140.503012697,1396600927,138.936751467,0.922029666361,,,2014_Apr_04_0939,60.01956582,semact_fmri_builder,002,pw,
