selectBlock,category,paths,semantic,action,image3,number,image2,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant,
2,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,object,trial_images_objects\r_cutteknife.png,n,n,,102,,cutterknife,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,1397147694,214.319718735,1397147697,217.339257304,1397147697,217.8318416,None,0.5,,220.320558448,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_jerboas.png,f,v,,82,,jerboas,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,1397147700,220.82038625,1397147701,221.332128195,3,1.5,,223.819189463,1397147702,222.902786175,1.57033923859,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_crow.png,n,n,,64,,crow,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,1397147705,225.318665019,1397147705,225.829215913,None,2.5,,228.31734629,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,object,trial_images_objects\r_squeezer.png,n,n,,101,,squeezer,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,1397147710,230.816575849,1397147711,231.328455432,None,0.5,,233.831922493,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,,grasshopper_common,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,1397147714,234.331874953,1397147714,234.840830935,None,1.5,,237.330562261,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_pony.png,n,n,,81,,pony,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,1397147718,238.830153723,1397147719,239.341682571,None,0.5,,241.828854915,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,,sheep_blackfaced,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,1397147722,242.32880979,1397147722,242.840818258,None,0.5,,245.327499814,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,,bulldog_whiteenglish,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,1397147725,245.827458613,1397147726,246.339573932,None,2.5,,248.826136261,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,object,trial_images_objects\r_paint_roller.png,n,v,,117,,paint_roller,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,1397147731,251.325387552,1397147731,251.834796291,None,1.5,,254.32404377,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,animal,trial_images_animals\r_beaver.png,n,n,,63,,beaver,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,10,,,,,,,,,,,1397147735,255.823650324,1397147736,256.33695579,3,1.5,,258.822399508,1397147738,258.439135754,2.10190559297,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,object,trial_images_objects\r_crosscut_saw.png,n,n,,100,,crosscut_saw,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,8,,,,,,,,,,,1397147740,260.321920341,1397147740,260.830563015,None,0.5,,263.320572031,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
1,object,trial_images_objects\r_teapot.png,n,n,,109,,teapot,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,12,,,,,,,,,,,1397147743,263.820556486,1397147744,264.332002933,None,2.5,,266.819254358,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
