selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
2,object,trial_images_objects\r_spatula.png,n,n,spatula,32,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,471.2252485,1397060651,1397060652,471.7334556,,,None,,3.5,474.2239463,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,swan_bewick,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,,,,,483.7556089,1397060664,1397060664,484.2490051,,,None,,1.5,486.7361408,1397060661,480.7439132,1397060667,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_lipstick.png,n,n,,48,lipstick,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,6,,,,,,,,,,,,,,,488.23562,1397060668,1397060669,488.7436159,,,None,,1.5,491.2342825,,,1397060671,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_ostrich.png,f,n,,24,ostrich,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,5,,,,,,,,,,,,,,,492.7338978,1397060673,1397060673,493.2455146,1397060674,494.1331149,4,0.88729427,3.5,495.7327041,,,1397060676,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,eyelash_curlers,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,499.248133,1397060679,1397060680,499.7558259,,,None,,0.5,502.2468025,,,1397060682,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,cow_dairy,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,8,,,,,,,,,,,,,,,502.7467755,1397060683,1397060683,503.2603407,,,None,,2.5,505.745487,,,1397060686,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_pepper_mill.png,n,n,,35,peppemill,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,10,,,,,,,,,,,,,,,508.244722,1397060688,1397060689,508.7531462,,,None,,0.5,511.2434256,,,1397060691,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_axe.png,n,v,,34,axe,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,9,,,,,,,,,,,,,,,511.7433617,1397060692,1397060692,512.2515375,,,None,,1.5,514.7420683,,,1397060695,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
