selectBlock,category,paths,semantic,action,image3,number,image4,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant,
3,animal,trial_images_animals\r_pony.png,n,n,pony,81,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,1397061039,122.334598042,1397061040,122.847939506,None,3.5,1397061042,125.333339068,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_swan2.png,n,n,,90,swan2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,1397061052,134.864375885,1397061052,135.359847233,4,2.5,1397061055,137.845512414,1397061049,131.852898129,1397061053,136.462398774,1.10217605282,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,sheep_blackfaced,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,1397061057,140.344476651,1397061058,140.856464968,None,1.5,1397061060,143.343124107,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,grasshopper_common,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,1397061062,144.842745147,1397061062,145.352068221,4,1.5,1397061065,147.841513038,,,1397061063,146.291912176,0.939572601046,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_hedgehog.png,n,n,,80,hedgehog,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,12,,,,,,,,,,,,,,,1397061066,149.34104413,1397061067,149.853112133,None,1.5,1397061069,152.339737466,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_owl_whitebarn.png,n,n,,85,owl_whitebarn,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,1397061071,153.839350658,1397061071,154.349176596,4,3.5,1397061074,156.838110701,,,1397061072,155.271851307,0.922401545178,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_beaver.png,n,n,,63,beaver,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,1397061077,160.336901078,1397061078,160.849433009,None,3.5,1397061080,163.352249023,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,object,trial_images_objects\r_tweezers.png,n,n,,103,tweezers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,1397061084,166.851112747,1397061084,167.360236908,None,0.5,1397061087,169.849792198,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,object,trial_images_objects\r_whisk.png,n,n,,116,whisk,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,1397061087,170.34976941,1397061088,170.860003737,None,2.5,1397061090,173.348468481,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,object,trial_images_objects\r_tin_opener.png,n,n,,95,tin_opener,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,1397061093,175.847701959,1397061093,176.358296682,None,3.5,1397061096,178.846380806,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,object,trial_images_objects\r_computer_mouse.png,n,n,,99,computer_mouse,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,1397061099,182.34526898,1397061100,182.854692868,None,2.5,1397061102,185.343935452,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_koala.png,f,n,,88,koala,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,1397061105,187.843161686,1397061105,188.356009039,None,0.5,1397061108,190.841865285,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,animal,trial_images_animals\r_fox2.png,n,n,,74,fox2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,1397061108,191.341824084,1397061109,191.852950951,None,0.5,1397061111,194.340524966,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
