selectBlock,category,paths,semantic,action,number,image4,image2,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396542121,22.46155012,82.70236687,1396542181,,,,,,,,,,,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_rasp.png,n,n,47,rasp,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1396542181,82.77504567,1396542184,85.78834695,1396542185,86.28068831,None,0.5,1396542187,88.77025815,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,animal,trial_images_animals\r_fox_red.png,n,n,14,fox_red,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,1396542188,89.27009304,1396542188,89.77987515,None,0.5,1396542191,92.26880689,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,animal,trial_images_animals\r_butterfly.png,n,n,6,butterfly,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,1396542191,92.76878757,1396542192,93.28167564,3,3.5,1396542194,95.76765687,1396542193,94.15137393,0.869389808,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,animal,trial_images_animals\r_cricket_green.png,n,v,10,cricket_green,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,1396542198,99.26641388,1396542198,99.77939884,3,2.5,1396542201,102.265179,1396542199,100.7655545,0.985883136,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_spanner.png,n,n,55,spanner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,1396542203,104.764381,1396542204,105.2714933,None,1.5,1396542206,107.7630649,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,animal,trial_images_animals\r_frog.png,n,v,15,frog,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,1396542208,109.2627308,1396542208,109.7712669,3,1.5,1396542211,112.2615102,1396542209,110.6785539,0.907022301,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_coping_saw.png,n,n,40,coping_saw,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,1396542212,113.7610882,1396542213,114.2678096,None,1.5,1396542215,116.759748,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_pruning_shear.png,n,n,45,pruning_shear,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1396542217,118.259381,1396542217,118.7837405,None,2.5,1396542220,121.2747544,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_lipstick.png,n,n,48,lipstick,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,1396542222,123.7740137,1396542223,124.2806968,None,2.5,1396542225,126.7727139,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_spatula.png,n,n,32,spatula,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,1396542228,129.2720004,1396542228,129.7789775,None,3.5,1396542231,132.2706931,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
4,object,trial_images_objects\r_pasta_spoon.png,n,n,50,pasta_spoon,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,9,,,,,,,,,,,,,,,,,,,1396542234,135.769665,1396542235,136.27972,None,0.5,1396542237,138.7682817,,,,,,2014_Apr_03_1722,60.01735492,semact_fmri_builder,1,jh
