selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_ostrich.png,f,n,ostrich,24,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,1406740882,633.680161,1406740882,634.2311317,1406740883,635.1292917,3,0.897895199,1.5,1406740885,636.695583,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,animal,trial_images_animals\r_dragonfly.png,n,n,,12,dragonfly,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,1406740889,641.2028845,1406740892,644.2264683,1406740893,644.7227318,,,None,,0.5,,647.2082697,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,animal,trial_images_animals\r_blackbird.png,n,n,,4,blackbird,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,1406740896,647.7081178,1406740896,648.220727,,,None,,0.5,,650.7067849,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_maracas.png,f,v,,60,maracas,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,1406740899,651.2068401,1406740900,651.7182648,1406740901,653.4225261,3,1.703948206,0.5,,654.2056678,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_colander.png,n,n,,36,colander,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,1406740903,654.7055117,1406740903,655.3191061,,,None,,3.5,,657.7042241,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_pepper_mill.png,n,n,,35,peppemill,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,1406740909,661.2031015,1406740910,661.7121695,,,None,,2.5,,664.2018432,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,1406740915,666.7010626,1406740915,667.2136847,1406740916,668.0670658,3,0.853096501,0.5,,669.6998498,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,animal,trial_images_animals\r_squirrel_red.png,n,v,,22,squirrel_red,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,1406740918,670.1997605,1406740919,670.7126856,,,None,,2.5,,673.2151142,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
