selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409136310,971.6260954,998.6963876,1409136338,,,,,,,,,,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,animal,trial_images_animals\r_harvest_mouse.png,n,n,harvest_mouse,19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409136338,998.7313185,1001.745493,1409136341,1409136341,1002.241704,None,0.5,1004.743991,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,animal,trial_images_animals\r_butterfly.png,n,n,butterfly,6,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.243832,1409136344,1409136345,1005.756635,4,0.5,1008.242666,1409136346,1007.342934,1.585987377,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,animal,trial_images_animals\r_springbok.png,f,n,springbok,28,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.742519,1409136348,1409136348,1009.252831,4,0.5,1011.741258,1409136349,1010.608309,1.355210205,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,object,trial_images_objects\r_pliers.png,n,n,pliers,59,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.241169,1409136351,1409136352,1012.753482,None,2.5,1015.239851,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,object,trial_images_objects\r_eyelash_curlers.png,n,n,eyelash_curlers,43,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.739066,1409136357,1409136357,1018.24483,None,0.5,1020.737752,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,object,trial_images_objects\r_staple_remover.png,n,n,staple_remover,54,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.237732,1409136360,1409136361,1021.74579,None,3.5,1024.236418,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,animal,trial_images_animals\r_frog.png,n,v,frog,15,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.735286,1409136367,1409136367,1028.249098,None,2.5,1030.733967,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,object,trial_images_objects\r_coping_saw.png,n,n,coping_saw,40,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.233217,1409136372,1409136373,1033.742341,None,1.5,1036.23185,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
1,animal,trial_images_animals\r_stoat.png,n,n,stoat,29,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.731439,1409136377,1409136377,1038.246167,None,2.5,1040.730127,,,,,,,2014_Aug_27_1145,60.02197587,semact_fmri_builder,1,ls016
