selectBlock,category,paths,semantic,action,image1,number,image3,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,Respgettime,startfixAbstime,date,frameRate,expName,session,participant
1,object,trial_images_objects\r_coping_saw.png,n,n,coping_saw,40,,,,,,,,0,0,0,0,0,0,0,0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,306.8441535,1393511538,308.8542393,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_nail_file.png,n,n,,53,nail_file,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,14,,,,,,,,,,,,,1393511545,315.8815729,1,,1393511550,320.8851271,None,,,,319.8899078,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_spanner.png,n,n,,55,spanner,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,,,,,4,,1393511557,327.8962812,None,,,,323.8715248,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_pen.png,n,n,,51,pen1,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,2,,1393511562,332.8959169,None,,,,330.8856653,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,3,,1393511568,338.8937994,None,,,,335.8837803,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_chi_instrument.png,f,n,,31,chi_instrument,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,7,,,,,,,,,,,,,,,4,,1393511575,345.8913177,3,1393511576,347.1626441,1.270949405,341.8816321,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,6,,,,,,,,,,,,,,,4,,1393511582,352.889736,3,1393511583,353.5269113,0.636912089,348.8792137,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_toothbrush.png,n,n,,38,toothbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,,,,,3,,1393511588,358.8865467,None,,,,355.8766773,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_ostrich.png,f,n,,24,ostrich,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,11,,,,,,,,,,,,,,,2,,1393511593,363.8835548,3,1393511594,364.6895792,0.805746707,361.8744352,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_rabbit.png,n,v,,18,rabbit,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,10,,,,,,,,,,,,,,,3,,1393511599,369.8805116,None,,,,366.8726944,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_kettle.png,n,n,,49,kettle,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,1,,1393511603,373.8962408,None,,,,372.8871519,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_pitchfork.png,n,n,,52,pitchfork,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,13,,,,,,,,,,,,,,,2,,1393511608,378.893254,None,,,,376.8857181,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,pizza_slicer,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,,,,,3,,1393511614,384.8916627,None,,,,381.8839354,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_pruning_shear.png,n,n,,45,pruning_shear,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,4,,,,,,,,,,,,,,,3,,1393511620,390.8897481,None,,,,387.8817474,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_dragonfly.png,n,n,,12,dragonfly,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,12,,,,,,,,,,,,,,,1,,1393511624,394.8923014,None,,,,393.8796013,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_colander.png,n,n,,36,colander,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,14,14,2,,,,,,,,,,,,,,,4,,1393511631,401.8897037,None,,,,397.8781931,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_blackbird.png,n,n,,4,,blackbird,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,1,413.9066182,1393511644,414.9003392,None,,,,,1393511638,408.8866297,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
