selectBlock,category,paths,semantic,action,image2,number,image4,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1loop.thisTrial,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,Respgettime,key_resp_2.rt,startfixAbstime,startfixtime,RespgetTime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
2,object,trial_images_objects\r_stapler.png,n,n,stapler,97,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,141.0049817,1393508364,143.0147569,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_hare.png,n,v,,78,hare,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,1393508371,150.0258174,4,,1393508380,159.0255204,3,1393508380,,0.605310119,1393508376,155.035327,159.6311988,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,deer_fallow,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,3,,1393508386,165.0225496,None,,,,1393508383,162.0143941,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_goat2.png,n,n,,76,goat2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,3,,1393508392,171.0205759,None,,,,1393508389,168.0120158,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_pincer.png,n,n,,119,pincer,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,1,,1393508396,175.0381638,None,,,,1393508395,174.0264975,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,bottle_cleaner,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,13,,,,,,,,,,,,,,,,2,,1393508401,180.036328,None,,,,1393508399,178.0250664,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,4,,1393508408,187.0323786,None,,,,1393508404,183.0232647,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_goose_canada.png,n,n,,77,goose_canada,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,14,,,,,,,,,,,,,,,,4,,1393508415,194.0294875,None,,,,1393508411,190.0207778,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
