selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
2,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_iron.png,n,n,,39,iron,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,7,,,,,,,,,,,,,,,202.8922819,1397147238,1397147239,203.3854587,None,1.5,205.8736944,1397147235,199.8809699,1397147241,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,207.3731425,1397147243,1397147243,207.8833991,None,0.5,210.3718407,,,1397147246,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,eyelash_curlers,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,11,,,,,,,,,,,,,,,210.8718493,1397147246,1397147247,211.3789626,None,1.5,213.8704753,,,1397147249,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_butterfly.png,n,n,,6,butterfly,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,215.3700777,1397147251,1397147251,215.8843876,None,0.5,218.3854044,,,1397147254,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_cat_wild.png,n,n,,8,cat_wild,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,218.885378,1397147254,1397147255,219.3956587,3,0.5,221.8841649,,,1397147257,1397147256,220.7511108,1.355130957,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_pitchfork.png,n,n,,52,pitchfork,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,,,,,,,,,,222.3840238,1397147258,1397147258,222.8925228,None,1.5,225.3827063,,,1397147261,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_duck_white.png,n,n,,13,duck_white,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,3,,,,,,,,,,,,,,,226.8823137,1397147262,1397147263,227.3944628,None,0.5,229.8809805,,,1397147265,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,kangaroo_red,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,5,,,,,,,,,,,,,,,230.3809496,1397147266,1397147266,230.89393,3,3.5,233.3797425,,,1397147269,1397147267,231.7634895,0.86929817,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,pasta_spoon,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,236.8785057,1397147272,1397147273,237.3890204,3,1.5,239.8772075,,,1397147275,1397147275,239.1606638,1.771360839,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_wok.png,f,n,,44,wok,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,10,,,,,,,,,,,,,,,241.3767513,1397147277,1397147277,241.8883354,3,2.5,244.3754911,,,1397147280,1397147279,243.209138,1.320486913,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_horse.png,n,n,,21,horse,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,1,,,,,,,,,,,,,,,246.8746525,1397147282,1397147283,247.387175,None,1.5,249.8732957,,,1397147285,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,object,trial_images_objects\r_rasp.png,n,n,,47,rasp,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,4,,,,,,,,,,,,,,,251.372905,1397147287,1397147287,251.8805957,None,0.5,254.371579,,,1397147290,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_dragonfly.png,n,n,,12,dragonfly,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,254.8715589,1397147290,1397147291,255.3837742,3,3.5,257.8703462,,,1397147293,1397147292,256.6206127,1.236567838,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,bulldog_english,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,261.3857521,1397147297,1397147297,261.899858,None,0.5,264.3844098,,,1397147300,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_badger.png,n,n,,1,,badger1,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,270.9159825,1397147306,1397147307,271.4117908,None,0.5,273.8974334,1397147303,267.8925306,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,cleaningbrush,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,274.3972914,1397147310,1397147310,274.9083044,None,0.5,277.395988,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_bug_common.png,n,n,,3,,bug_common,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,277.8959387,1397147313,1397147314,278.4078171,None,1.5,280.8946341,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_colander.png,n,n,,36,,colander,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,282.3942356,1397147318,1397147318,282.9041683,None,0.5,285.3929005,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_pliers.png,n,n,,59,,pliers,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,285.8928844,1397147321,1397147322,286.404808,None,2.5,288.8915696,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_sheep.png,n,n,,27,,sheep1,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,291.3907901,1397147327,1397147327,291.902893,None,0.5,294.3894677,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_spanner.png,n,n,,55,,spanner,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,294.8894184,1397147330,1397147331,295.3975482,None,2.5,297.9047674,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_mole.png,n,n,,20,,mole,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,300.4040003,1397147336,1397147336,300.9140031,None,2.5,303.402713,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_compass.png,n,n,,37,,compass,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,305.9018982,1397147341,1397147342,306.4084425,None,3.5,308.9005912,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_staple_remover.png,n,n,,54,,staple_remover,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,12,,,,,,,,,,,312.3994036,1397147348,1397147348,312.9082304,None,3.5,315.398055,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,318.8969166,1397147354,1397147355,319.4085267,None,1.5,321.8955629,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_owl.png,n,n,,25,,owl2,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,323.39518,1397147359,1397147359,323.9066983,None,1.5,326.3938664,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,object,trial_images_objects\r_broom.png,n,n,,33,,broom,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,327.8934446,1397147363,1397147364,328.4001899,None,2.5,330.8921093,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,animal,trial_images_animals\r_frog.png,n,v,,15,,frog,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,6,,,,,,,,,,,333.3913313,1397147369,1397147369,333.9019803,None,1.5,336.3900011,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
1,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,,seagull_herring,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,5,,,,,1397147376,340.9343971,343.9378531,1397147379,1397147380,344.4331751,None,0.5,346.9195554,,,1397147382,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_bat.png,n,n,,2,,,bat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,10,,,,,,,347.4193684,1397147383,1397147383,347.9297693,None,1.5,350.4347111,,,1397147386,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,object,trial_images_objects\r_pepper_mill.png,n,n,,35,,,peppemill,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,351.9343107,1397147387,1397147388,352.4425429,3,2.5,354.9330994,,,1397147390,1397147389,353.683414,1.24055572,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,object,trial_images_objects\r_knife_table.png,n,n,,42,,,knife_table,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,6,,,,,,,357.432243,1397147393,1397147393,357.9416372,None,1.5,360.4308732,,,1397147396,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_goat.png,n,n,,16,,,goat1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,12,,,,,,,361.9305172,1397147397,1397147398,362.4419661,3,0.5,364.9292287,,,1397147400,1397147399,363.9627529,1.520506411,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_cricket_green.png,n,v,,10,,,cricket_green,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,7,,,,,,,365.4291208,1397147401,1397147401,365.9412753,3,2.5,368.4278977,,,1397147404,1397147402,366.8282986,0.886768243,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
