selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
1,animal,trial_images_animals\r_bulldog_english.png,n,n,bulldog_english,5,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5143885,1407436904,1407436904,153.0284624,None,1.5,155.5130531,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,animal,trial_images_animals\r_cat_wild.png,n,n,,8,cat_wild,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,163.0432763,1407436914,1407436915,163.5373565,None,3.5,166.0257984,,,,1407436911,160.0322426,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,animal,trial_images_animals\r_sheep.png,n,n,,27,sheep1,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,169.5244967,1407436921,1407436921,170.0577636,None,1.5,172.5398334,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,174.0394333,1407436925,1407436926,174.5529187,None,3.5,177.0380901,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_spanner.png,n,n,,55,spanner,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,180.5369466,1407436932,1407436932,181.0448975,None,1.5,183.5355992,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_nail_file.png,n,n,,53,nail_file,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,185.0351837,1407436936,1407436937,185.5455125,None,1.5,188.0338662,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_broom.png,n,n,,33,broom,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,189.5334607,1407436941,1407436941,190.0393868,None,0.5,192.5321432,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,193.0321225,1407436944,1407436945,193.5414205,3,0.5,196.0309511,1407436946,195.0812276,1.539486278,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
