selectBlock,category,paths,semantic,action,image1,number,image2,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
1,animal,trial_images_animals\r_swan2.png,n,n,swan2,90,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.107975338,1396542630,1396542630,126.619964214,None,0.5,129.106724202,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_koala.png,f,n,,88,koala,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,135.638068716,1396542639,1396542640,136.135196385,3,2.5,138.620139584,1396542641,136.970526304,0.834985215763,1396542636,132.625831425,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,object,trial_images_objects\r_pencil.png,n,n,,111,pencil,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,141.119107585,1396542645,1396542645,141.626729104,None,3.5,144.134501544,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,sheep_blackfaced,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,147.633393179,1396542651,1396542652,148.144607225,None,3.5,150.632084088,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_pony.png,n,n,,81,pony,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,154.130983269,1396542658,1396542658,154.642291188,None,3.5,157.129663917,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_wallaby.png,f,v,,83,wallaby,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,160.628641577,1396542664,1396542665,161.138937418,3,2.5,163.627380479,1396542666,161.894587907,0.75538033944,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,object,trial_images_objects\r_cakeslicer.png,n,n,,92,cakeslicer,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,166.126549206,1396542670,1396542670,166.634076248,None,2.5,169.125273922,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_goose_canada.png,n,n,,77,goose_canada,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,171.624541351,1396542675,1396542676,172.13395038,None,2.5,174.623239203,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,object,trial_images_objects\r_teapot.png,n,n,,109,teapot,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,177.122497274,1396542681,1396542681,177.633327075,None,3.5,180.121221991,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,object,trial_images_objects\r_rake.png,n,n,,112,rake,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,183.620098232,1396542687,1396542688,184.127549209,None,2.5,186.618784916,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_giraffe.png,f,n,,67,giraffe,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,189.134714946,1396542693,1396542693,189.643848695,None,1.5,192.133389556,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_penguin.png,f,n,,84,penguin,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,193.633062359,1396542697,1396542698,194.14120848,None,2.5,196.631780133,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_fox2.png,n,n,,74,fox2,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,199.13103579,1396542703,1396542703,199.641937731,None,1.5,202.129749036,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_crow.png,n,n,,64,crow,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,6,,,,,,,,,,,,,,,203.629377166,1396542707,1396542708,204.139829664,3,0.5,206.628165571,1396542709,205.511847311,1.37174689434,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,animal,trial_images_animals\r_dog_terrier.png,n,n,,68,dog_terrier,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,207.128061436,1396542711,1396542711,207.637252233,None,0.5,210.126799433,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_hedgehog.png,n,n,,80,,hedgehog,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,216.658088408,1396542721,1396542721,217.152553828,None,3.5,219.64023534,,,,1396542718,213.649449379,1396542723,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_hare.png,n,v,,78,,hare,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,223.138954623,1396542727,1396542728,223.647491932,3,2.5,226.137743934,1396542729,224.704806356,1.05696549459,,,1396542730,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_crosscut_saw.png,n,n,,100,,crosscut_saw,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,228.636906623,1396542732,1396542733,229.144184042,None,0.5,231.635619266,,,,,,1396542735,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_mop.png,n,n,,93,,mop,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,12,,,,,,,,,,,232.135598137,1396542736,1396542736,232.643585488,None,1.5,235.134362092,,,,,,1396542739,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_frypan.png,n,n,,104,,frypan,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,236.650617207,1396542741,1396542741,237.15887018,None,0.5,239.649336792,,,,,,1396542744,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,,bulldog_whiteenglish,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,240.149325322,1396542744,1396542745,240.660295781,None,1.5,243.148046718,,,,,,1396542747,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_jerboas.png,f,v,,82,,jerboas,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,11,,,,,,,,,,,244.647663378,1396542749,1396542749,245.158600937,3,2.5,247.646465668,1396542750,246.31347895,1.15456289006,,,1396542752,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,,grasshopper_common,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,4,,,,,,,,,,,250.145655221,1396542754,1396542755,250.655451816,3,3.5,253.14443276,1396542756,251.728090775,1.07237363975,,,1396542757,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_pincer.png,n,n,,119,,pincer,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,10,,,,,,,,,,,256.643280024,1396542761,1396542761,257.151814012,None,1.5,259.641954031,,,,,,1396542763,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_vole.png,n,n,,79,,vole,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,1,,,,,,,,,,,261.141578539,1396542765,1396542766,261.651467497,None,1.5,264.140295407,,,,,,1396542768,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_squeezer.png,n,n,,101,,squeezer,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,8,,,,,,,,,,,265.639935611,1396542769,1396542770,266.150351284,None,0.5,268.638625615,,,,,,1396542772,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,animal,trial_images_animals\r_otter.png,n,n,,86,,otter,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,9,,,,,,,,,,,269.138612334,1396542773,1396542774,269.649494957,None,0.5,272.137336145,,,,,,1396542776,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
