selectBlock,category,paths,semantic,action,image1,number,image2,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407170290,7.5104853437,36.7915512344,1407170320,,,,,,,,,,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_dog_terrier.png,n,n,dog_terrier,68,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407170320,36.8154637464,39.8342493457,1407170323,1407170323,40.3317424862,None,2.5,42.8163487689,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,object,trial_images_objects\r_scoop.png,n,n,scoop,110,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.315518683,1407170328,1407170329,45.8239674486,None,1.5,48.3142620838,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_highland_cow.png,n,n,highland_cow,69,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8139092218,1407170333,1407170333,50.3275663993,None,1.5,52.8127145018,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_wallaby.png,f,v,wallaby,83,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3124008802,1407170337,1407170338,54.8235207114,3,2.5,57.3279283168,1407170339,55.7284139925,0.904360818736,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_giraffe.png,f,n,giraffe,67,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8271263029,1407170343,1407170343,60.3380559689,3,0.5,62.8259925564,1407170344,61.2764593665,0.93812599799,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_hedgehog.png,n,n,hedgehog,80,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3259288662,1407170346,1407170347,63.8389219749,None,0.5,66.3247368628,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,sheep_blackfaced,87,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8247048667,1407170350,1407170350,67.3365941121,None,2.5,69.8235204095,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,object,trial_images_objects\r_cakeslicer.png,n,n,cakeslicer,92,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3228481909,1407170355,1407170356,72.8313283488,None,1.5,75.3216181544,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
1,object,trial_images_objects\r_key.png,n,n,key,108,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8212387297,1407170360,1407170360,77.329148694,None,1.5,79.8200639317,,,,,,,2014_Aug_04_1738,60.0137674924,semact_fmri_builder,002,es013,
