selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
4,object,trial_images_objects\r_compass.png,n,n,37,compass,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,,,,,1395136899,104.687882,1395136900,105.194665,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_butterfly.png,n,n,6,,butterfly,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,1395136910,115.7176293,1395136911,116.2137292,,,None,,2,,118.6990309,1395136906,111.6903414,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_seal_grey.png,n,n,26,,seal_grey,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,1395136915,120.6983605,1395136916,121.2094436,1395136917,122.6974541,3,1.487679665,1,,123.697218,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_cow_dairy.png,n,n,9,,cow_dairy,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,1395136919,124.6968522,1395136920,125.2108843,,,None,,2,,127.695579,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_knife_table.png,n,n,42,,knife_table,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,1395136924,129.6950309,1395136925,130.2047071,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_paintbrush.png,n,v,58,,paintbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,1395136927,132.6941818,1395136928,133.2042489,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_ostrich.png,f,n,24,,ostrich,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,1395136930,135.6930638,1395136931,136.2030536,1395136933,138.1417752,3,1.938421867,1,,138.6917658,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_kettle.png,n,n,49,,kettle,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,1395136934,139.6914015,1395136935,140.2011489,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
