selectBlock,category,paths,semantic,action,number,image4,image3,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407437199,9.93035815779,37.5910263,1407437227,,,,,,,,,,,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_giraffe.png,f,n,67,giraffe,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1407437227,37.6255728505,1407437230,40.6395723923,1407437230,41.1359396228,None,0.5,1407437233,43.6220153895,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_rake.png,n,n,112,rake,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,1407437233,44.1218099888,1407437234,44.6291780019,None,1.5,1407437236,47.1204906556,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_highland_cow.png,n,n,69,highland_cow,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,,1407437238,48.6201113963,1407437238,49.1329245644,None,1.5,1407437241,51.6187700288,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_robin.png,n,n,62,robin,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,1407437242,53.1183916751,1407437243,53.6320421414,3,1.5,1407437245,56.1171921714,1407437244,55.0673997906,1.43503649371,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_fox2.png,n,n,74,fox2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,1407437247,57.6167024395,1407437247,58.1270465739,None,1.5,1407437250,60.6153405471,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_mop.png,n,n,93,mop,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,1407437251,62.1149129937,1407437252,62.623282203,None,0.5,1407437254,65.1135978862,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_squeezer.png,n,n,101,squeezer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,1407437255,65.6135980371,1407437255,66.1242150329,None,1.5,1407437258,68.612300738,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_scissors.png,n,n,114,scissors,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,1407437259,70.1118523578,1407437260,70.6190093863,None,0.5,1407437262,73.1105840351,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_owl_whitebarn.png,n,n,85,owl_whitebarn,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,1407437263,73.6105343828,1407437263,74.1200185811,3,2.5,1407437266,76.62591272,1407437265,75.4095393441,1.28923673355,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_duck_mallard.png,n,n,73,duck_mallard,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,1407437268,79.1250831186,1407437269,79.6368344211,3,3.5,1407437271,82.1237930636,1407437270,80.9574296937,1.32031727989,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_dog_terrier.png,n,n,68,dog_terrier,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,1407437275,85.6225774116,1407437275,86.1336046051,None,2.5,1407437278,88.621238157,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_whisk.png,n,n,116,whisk,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,1407437280,91.1205006162,1407437281,91.631495513,None,2.5,1407437283,94.1191378183,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,animal,trial_images_animals\r_goose_canada.png,n,n,77,goose_canada,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,4,,,,,,,,,,,,,,,,,,,1407437286,96.6184488733,1407437286,97.1289101208,3,2.5,1407437289,99.6170821515,1407437287,98.2007430041,1.07156273836,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,object,trial_images_objects\r_stapler.png,n,n,97,stapler,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,1407437291,102.116216028,1407437292,102.62567125,3,2.5,1407437294,105.114979398,1407437294,104.698319095,2.07236472155,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_bottle_cleaner.png,n,n,98,,bottle_cleaner,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,1407437303,113.644915224,1407437303,114.13616751,None,3.5,1407437306,116.627358523,,,,1407437300,110.625125829,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_tweezers.png,n,n,103,,tweezers,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,1407437309,120.125996178,1407437310,120.634572448,None,2.5,1407437312,123.124632777,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,animal,trial_images_animals\r_hedgehog.png,n,n,80,,hedgehog,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,1407437315,125.623883162,1407437315,126.14246415,None,1.5,1407437318,128.622525194,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,animal,trial_images_animals\r_vole.png,n,n,79,,vole,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,1407437319,130.122148953,1407437320,130.632663324,None,3.5,1407437322,133.120810604,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,animal,trial_images_animals\r_jerboas.png,f,v,82,,jerboas,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,1407437326,136.619644453,1407437326,137.132354694,None,2.5,1407437329,139.618300369,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_pincer.png,n,n,119,,pincer,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,1407437331,142.117542907,1407437332,142.625606053,None,0.5,1407437334,145.116282734,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_african_sickle.png,f,n,94,,african_sickle,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,1407437335,145.616212557,1407437335,146.122899925,None,1.5,1407437338,148.614862436,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_chopsticks.png,f,n,96,,chopsticks,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,1407437339,150.114445447,1407437340,150.621529732,3,1.5,1407437342,153.129888076,1407437341,151.663651206,1.04181390066,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_pencil.png,n,n,111,,pencil,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,1407437344,154.629372687,1407437344,155.13691305,None,0.5,1407437347,157.628050939,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_cutteknife.png,n,n,102,,cutterknife,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,1407437347,158.128020303,1407437348,158.636580877,None,0.5,1407437350,161.126695235,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_shisha.png,f,n,120,,shisha,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,0,,,,,,,,,,,,,,,1407437351,161.626674861,1407437351,162.136364007,3,1.5,1407437354,164.625453926,1407437352,163.17579701,1.03916859365,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,87,,sheep_blackfaced,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,12,,,,,,,,,,,,,,,1407437355,166.12505867,1407437356,166.640754993,None,1.5,1407437358,169.123606226,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,object,trial_images_objects\r_computer_mouse.png,n,n,99,,computer_mouse,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,1,,,,,,,,,,,,,,,1407437360,170.623216402,1407437360,171.131515283,None,1.5,1407437363,173.621872922,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,animal,trial_images_animals\r_penguin.png,f,n,84,,penguin,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,11,,,,,,,,,,,,,,,1407437364,175.121493965,1407437365,175.630072348,3,1.5,1407437367,178.120281784,1407437366,176.720586881,1.09024016333,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,animal,trial_images_animals\r_deer_fallow.png,n,n,71,,,deer_fallow,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,12,,,,,,,,,1407437372,182.632046971,1407437375,185.650865656,1407437375,186.143301448,None,2.5,,188.632885476,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,object,trial_images_objects\r_garden clippers.png,n,n,105,,,garden_clippers,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,1407437380,191.13192699,1407437381,191.639449544,None,2.5,,194.130633011,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,object,trial_images_objects\r_paint_roller.png,n,v,117,,,paint_roller,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,1407437386,196.629820313,1407437386,197.13928127,3,1.5,,199.628623828,1407437388,198.578907812,1.43931957295,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,animal,trial_images_animals\r_otter.png,n,n,86,,,otter,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,1407437390,201.12808218,1407437391,201.640401541,None,2.5,,204.126840419,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,object,trial_images_objects\r_teapot.png,n,n,109,,,teapot,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,1407437396,206.625974597,1407437396,207.136593705,None,2.5,,209.62464319,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,animal,trial_images_animals\r_toad.png,n,v,75,,,toad,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,1407437401,212.140518201,1407437402,212.651866248,3,1.5,,215.139323225,1407437403,213.556547663,0.904400403617,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
2,animal,trial_images_animals\r_pony.png,n,n,81,,,pony,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,1407437406,216.638827758,1407437406,217.150632486,None,0.5,,219.637517782,,,,,,2014_Aug_07_1946,60.0101978155,semact_fmri_builder,002,sh015,
