selectBlock,category,paths,semantic,action,number,image4,image1,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_handbell.png,n,v,91,handbell,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,,,,,,,1409136790,114.635934449,1409136791,115.149271346,,,None,,2.5,1409136793,117.634674272,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_pincer.png,n,n,119,pincer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,,,1409136796,120.133914695,1409136796,120.641804308,,,None,,0.5,1409136799,123.149226976,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_cutteknife.png,n,n,102,,cutterknife,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,1409136805,129.679647645,1409136806,130.174343282,,,None,,3.5,,132.662282559,1409136802,126.652907145,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_frypan.png,n,n,104,,frypan,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,1409136812,136.161018006,1409136812,136.669866258,,,None,,2.5,,139.159681162,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_tweezers.png,n,n,103,,tweezers,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,1409136817,141.658936676,1409136818,142.167633104,,,None,,2.5,,144.657604058,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_crosscut_saw.png,n,n,100,,crosscut_saw,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,1409136823,147.156844783,1409136823,147.664445234,,,None,,1.5,,150.155501298,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_paint_roller.png,n,v,117,,paint_roller,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,1409136827,151.655100909,1409136828,152.163838085,,,None,,2.5,,154.653783987,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_ladybird.png,n,n,72,,ladybird,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,1409136833,157.153012034,1409136833,157.666783881,,,None,,2.5,,160.151688471,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
